NOMBRE EN LA BdeD,#Phase,Normalized_Phase
HD_C_OxigenoDependencia,,0
HD_CicloAntibio,,0
HD_CiclosOtroAntibio,,0
HD_CiclosUltimaLinea,,0
cpapsola,,0
HD_DiasAlimentacionPar,,0
HD_DiasCamaraCefalica,,0
HD_DiasCanulaNasa,,0
HD_DiasFototerapia,,0
HD_DiasIncubadora,,0
HD_DiasOxigeno,,0
HD_DiasUCI,,0
HD_DiasURN,,0
HD_DiasVenMecanica,,0
HD_DiasVenNoInvasiva,,0
HD_DosisAmino,,0
HD_DosisSurfactante,,0
V196,,0
HD_ExamenesGenetico,,0
HD_ExamenesHepatitisB,,0
HD_ExamenesHIV,,0
HD_ExamenesRMICerebral,,0
HD_ExamenesRubeola,,0
HD_ExamenesSifilis,,0
HD_ExamenesToxoplasmosis,,0
HD_ExamenesTSH_Tiroides,,0
HD_FechaEntrada,,0
HD_FechaSalida,,0
HD_FechaUltimaTrans,,0
gestasal,,0
indicadorHICentrada,,0
HD_Infecciones,,0
HD_ExamenesEcocardiograma,,0
HD_ExamenesEcografiacerebral,,0
HD_ExamenesExamendeorina,,0
HD_PesoSalida,,0
recibioantibioticos,,0
HD_RhNino,,0
V206,,0
V204A,,0
V205,,0
V207,,0
surfactante,,0
HD_TipoAlimentacionS,,0
tipoventilacion,,0
HD_TotalDiasHospital,,0
HD_UltimValorHemaglobina,,0
HD_UltiValorHematocrito,,0
HD_ValorMasAltoBilirubina,,0
ventilacionmixta,,0
ventilacionsola,,0
V236J,,0
ALIMENTAPARENTERAL,,0
alisalida,,0
V199,,0
V197,,0
V198,,0
V201,,0
V203,,0
V200,,0
V202,,0
CSP_AyudaPerm1mes,,0
V209,,0
V196E,,0
V196F,,0
V196D,,0
egestasalPC,,0
EGentradaPMC,,0
V195B,,0
V195A,,0
V196A,,0
V208,,0
V204,,0
V195Bb,,0
V196B,,0
HD_NumTrasSanguineas,,0
V195,,0
V196C,,0
oxigenoalaentrada,,0
pesodesteteoxigeno,,0
pesosalPC,,0
V243,4.0,4
V220,4.0,4
V218,4.0,4
V236I,4.0,4
V219,4.0,4
V246,4.0,4
V228,4.0,4
DIASTOT09,4.0,4
V237,4.0,4
V238,4.0,4
V253,4.0,4
NEURO40,4.0,4
V247,4.0,4
algoLM40sem,4.0,4
ali40,4.0,4
V225,4.0,4
V223,4.0,4
V221,4.0,4
V222,4.0,4
V227,4.0,4
V224,4.0,4
V226,4.0,4
V236B,4.0,4
V236D,4.0,4
Indexnutricion40sem,4.0,4
LME40,4.0,4
V236A,4.0,4
V236E,4.0,4
Nutpcwho40,4.0,4
Nutpesowho40,4.0,4
Nuttallawho40,4.0,4
V236C,4.0,4
V229,4.0,4
V231,4.0,4
V230,4.0,4
V217,4.0,4
V233,4.0,4
V216,4.0,4
V232,4.0,4
V215,4.0,4
V236,4.0,4
V235A,4.0,4
V235,4.0,4
V234,4.0,4
V241,4.0,4
V244B,4.0,4
CONSULT09,4.0,4
V236G,4.0,4
V244,4.0,4
V239,4.0,4
V252,4.0,4
V242,4.0,4
V244A,4.0,4
V244C,4.0,4
mortalidadhasta40sem,4.0,4
V240,4.0,4
V236L,4.0,4
V236K,4.0,4
oftalmologia,4.0,4
oftalmopato,4.0,4
V245,4.0,4
V254,4.0,4
V248,4.0,4
V236F,4.0,4
REHOSP09,4.0,4
V249,4.0,4
V250,4.0,4
V251,4.0,4
vacunas40semBCG,4.0,4
vacunas40semHepB,4.0,4
vino40,4.0,4
V263,5.0,5
V261,5.0,5
V262,5.0,5
V270,5.0,5
DIASTOT10,5.0,5
V277,5.0,5
V279,5.0,5
V278,5.0,5
V276,5.0,5
V280,5.0,5
V290,5.0,5
infanib3m,5.0,5
algoLM3meses,5.0,5
ali3m,5.0,5
V268,5.0,5
V266,5.0,5
V264,5.0,5
