Phase,AUC,Accuracy,F1,Features
Nacimiento,0.719706500101611,0.6650403768506057,0.5185006045949214,235
40 Semanas,0.7494250463022835,0.6828734858681023,0.5302766010465986,296
3 Meses,0.8338209891368608,0.75,0.627382146439318,352
6 Meses,0.8938717888615874,0.803835800807537,0.6863905325443787,411
9 Meses,0.926768854035804,0.8453903095558546,0.7478737997256516,466
